rowkey,time,id,is_risk
2808,42:46.0,110631,0
2816,44:26.0,40671,0
2845,51:08.0,112260,0
2846,51:10.0,48887,0
2864,55:01.0,121285,0
2879,57:11.0,145300,0
2898,01:28.0,74821,0
2905,02:25.0,17734,0
2910,03:05.0,133450,0
2916,03:53.0,47144,0
2928,06:12.0,120848,0
2932,07:37.0,97485,0
2946,09:43.0,51227,0
2947,09:50.0,48887,0
2967,14:13.0,140763,0
2969,14:26.0,59838,0
2980,16:46.0,159326,0
2988,18:26.0,99391,0
2991,18:39.0,128025,0
2994,19:00.0,120848,0
3008,21:00.0,100650,0
3045,29:16.0,111162,0
3049,29:47.0,61766,0
3050,30:09.0,88195,0
3078,36:38.0,39378,0
3092,40:10.0,3207,0
3093,40:24.0,155073,0
3095,41:25.0,155073,0
3096,41:40.0,41277,0
3127,46:57.0,12115,0
3128,46:59.0,55031,0
3151,51:54.0,139120,0
3155,52:44.0,16969,0
3156,52:57.0,16969,0
3171,55:47.0,12115,0
3191,01:00.0,91330,0
3195,02:01.0,42989,0
3204,03:24.0,40570,0
3206,03:57.0,122812,0
3220,06:32.0,126810,0
3224,07:37.0,146708,0
3228,09:41.0,14087,0
3245,14:00.0,8528,0
3251,15:05.0,165760,0
3256,16:04.0,165760,0
3263,17:37.0,10640,0
3266,17:51.0,49567,0
3267,18:07.0,136995,0
3268,18:22.0,137277,0
3272,19:33.0,137277,0
3286,22:40.0,28130,0
3289,23:07.0,99676,0
3298,25:19.0,50178,0
3301,27:15.0,15972,0
3302,27:47.0,133494,0
3312,30:17.0,8528,0
3328,33:46.0,85994,0
3335,35:38.0,122083,0
3343,38:13.0,145197,0
3354,39:40.0,85074,0
3365,42:26.0,66065,0
3380,44:36.0,68880,0
3382,45:17.0,159615,0
3403,49:50.0,135398,0
3417,53:25.0,103601,0
3423,55:12.0,57996,0
3426,56:10.0,111308,0
3431,57:45.0,131643,0
3435,57:53.0,105144,0
3458,05:29.0,153582,0
3469,08:10.0,135230,0
3470,08:51.0,81565,0
3488,13:57.0,174906,0
3496,15:54.0,171939,0
3497,16:18.0,167801,0
3500,17:04.0,126529,0
3512,20:15.0,60277,0
3515,20:48.0,72971,0
3534,25:50.0,84537,0
3538,28:08.0,69239,0
3556,32:21.0,120945,0
3561,33:22.0,71761,0
3567,34:45.0,50152,0
3593,41:04.0,146874,0
3619,49:18.0,141908,0
3628,51:50.0,123659,0
3629,52:13.0,104199,0
3632,52:18.0,34958,0
3644,55:29.0,80464,0
3650,56:21.0,82642,0
3654,56:44.0,70711,0
3657,58:17.0,169683,0
3662,00:01.0,169683,0
3668,01:38.0,74148,0
3677,02:27.0,169683,0
3680,03:01.0,4862,0
3683,03:39.0,171105,0
3688,04:46.0,69239,0
3691,04:55.0,171105,0
3696,07:57.0,40570,0
3729,16:51.0,75848,0
3743,19:45.0,7728,0
3754,21:33.0,133774,0
3761,22:53.0,162466,0
3763,23:14.0,47755,0
3768,23:50.0,30109,0
3776,25:17.0,90793,0
3780,26:17.0,98970,0
3781,26:21.0,90793,0
3785,27:00.0,50071,0
3796,28:28.0,45231,0
3797,28:39.0,131739,0
3824,34:48.0,115277,0
3826,35:30.0,119153,0
3827,35:47.0,142700,0
3844,39:09.0,137988,0
3861,42:51.0,48824,0
3863,44:03.0,88770,0
3867,45:03.0,81445,0
3882,47:44.0,171105,0
3883,47:56.0,2378,0
3899,52:18.0,156331,0
3903,52:52.0,23253,0
3907,55:02.0,172285,0
3910,55:33.0,23303,0
3912,55:40.0,76527,0
3920,57:11.0,23303,0
3927,58:10.0,28039,0
3932,58:48.0,156331,0
3949,01:29.0,113314,0
3953,01:58.0,93255,0
3956,02:34.0,101895,0
3965,04:18.0,99906,0
3969,05:40.0,137719,0
3981,09:35.0,65107,0
3984,09:46.0,2815,0
3985,09:49.0,1095,0
3992,12:21.0,119750,0
3996,13:28.0,64327,0
4008,16:50.0,164556,0
4033,23:21.0,120784,0
4071,31:11.0,52642,0
4072,31:20.0,59868,0
4087,36:13.0,36791,0
4089,36:41.0,39452,0
4090,36:45.0,59868,0
4095,37:22.0,145582,0
4115,41:55.0,171105,0
4130,44:15.0,58515,0
4138,45:01.0,62978,0
4139,45:39.0,155127,0
4152,47:44.0,90120,0
4156,48:21.0,155127,0
4161,49:19.0,125053,0
4167,52:50.0,106684,0
4181,56:48.0,50845,0
4184,57:29.0,39036,0
4199,59:53.0,39332,0
4207,01:13.0,171105,0
4211,02:33.0,39332,0
4236,07:34.0,389,0
4259,14:33.0,39206,0
4276,18:30.0,61456,0
4278,18:47.0,48554,0
4297,22:17.0,7712,0
4300,23:02.0,108383,0
4308,25:20.0,90786,0
4315,26:09.0,110485,0
4317,26:58.0,75162,0
4346,33:03.0,2668,0
4350,34:30.0,133178,0
4358,36:15.0,167334,0
4393,43:33.0,80464,0
4420,48:46.0,156055,0
4424,49:58.0,156055,0
4430,52:08.0,31400,0
4432,52:13.0,34261,0
4440,53:20.0,173070,0
4441,53:36.0,58721,0
4443,54:32.0,51878,0
4488,01:28.0,115314,0
4510,05:10.0,138905,0
4520,07:03.0,25671,0
4524,07:54.0,169889,0
4545,13:40.0,65242,0
4549,14:10.0,137964,0
4550,14:10.0,25975,0
4565,16:28.0,49183,0
4573,17:51.0,75162,0
4575,18:29.0,11667,0
4579,19:00.0,38547,0
4583,19:45.0,169284,0
4606,23:05.0,62344,0
4617,24:15.0,119719,0
4620,24:57.0,130990,0
4629,25:51.0,7149,0
4646,27:55.0,149416,0
4654,29:27.0,169924,0
4657,29:36.0,53919,0
4660,30:07.0,164875,0
4662,30:21.0,164875,0
4675,32:29.0,60468,0
4679,33:18.0,130990,0
4687,34:20.0,16809,0
4690,35:41.0,49128,0
4691,35:50.0,130990,0
4693,36:04.0,149334,0
4699,36:37.0,144391,0
4707,38:06.0,142344,0
4718,40:00.0,53265,0
4723,40:43.0,52757,0
4729,42:06.0,63868,0
4731,42:13.0,19163,0
4742,43:38.0,130990,0
4751,45:09.0,107263,0
4752,45:25.0,40838,0
4756,46:06.0,115752,0
4760,46:21.0,130990,0
4772,48:30.0,11948,0
4777,49:07.0,45676,0
4781,49:37.0,167372,0
4785,50:02.0,91688,0
4786,50:11.0,138183,0
4791,50:59.0,135398,0
4800,52:55.0,50274,0
4802,53:04.0,134720,0
4815,54:25.0,134720,0
4819,54:57.0,164875,0
4845,01:05.0,30876,0
4855,02:27.0,24091,0
4856,02:33.0,146658,0
4866,03:49.0,154998,0
4880,08:23.0,7698,0
4883,08:49.0,160989,0
4889,11:00.0,171535,0
4894,12:21.0,133585,0
4895,12:22.0,129857,0
4907,13:48.0,160989,0
4925,19:13.0,61280,0
4934,20:39.0,60936,0
4942,22:14.0,171535,0
4947,23:23.0,30876,0
4952,25:46.0,54552,0
4963,28:03.0,54552,0
4969,29:32.0,100659,0
4972,29:47.0,54552,0
4981,31:49.0,34155,0
4987,34:16.0,122782,0
4995,36:17.0,118562,0
5004,38:38.0,68343,0
5014,40:38.0,68343,0
5026,43:10.0,68343,0
5028,45:29.0,34625,0
5034,47:37.0,34625,0
5037,48:17.0,80824,0
5040,49:16.0,160989,0
5042,50:14.0,14338,0
5046,50:43.0,14338,0
5052,53:26.0,160989,0
5058,56:49.0,43726,0
5073,01:18.0,65242,0
5080,04:13.0,171522,0
5084,05:19.0,65242,0
5085,05:44.0,65242,0
5087,05:58.0,30876,0
5089,06:33.0,85701,0
5102,11:57.0,77276,0
5109,15:58.0,173301,0
5113,16:41.0,10823,0
5114,16:45.0,158378,0
5115,16:45.0,10823,0
5126,18:44.0,86883,0
5128,19:08.0,62344,0
5132,21:14.0,94460,0
5161,35:12.0,14558,0
5162,35:12.0,34625,0
5163,36:34.0,14558,0
5165,37:25.0,34625,0
5167,37:57.0,34625,0
5168,38:07.0,34625,0
5170,38:34.0,34625,0
5172,39:05.0,34625,0
5176,39:52.0,34625,0
5191,48:00.0,150370,0
5192,48:10.0,37279,0
5195,49:42.0,72936,0
5214,02:37.0,138655,0
5218,08:11.0,139945,0
5237,26:08.0,60936,0
5245,36:05.0,140111,0
5248,44:13.0,69017,0
5251,45:57.0,22603,0
5264,04:55.0,19077,0
5266,11:01.0,126705,0
5267,11:23.0,69017,0
5271,19:18.0,159615,0
5282,57:49.0,171056,0
5284,03:11.0,160989,0
5285,03:43.0,120784,0
5289,15:27.0,120784,0
5290,16:28.0,120784,0
5296,25:01.0,120784,0
5301,36:59.0,69204,0
5302,43:19.0,117354,0
5304,01:56.0,117354,0
5309,24:34.0,117354,0
5311,30:08.0,49139,0
5312,30:11.0,49139,0
5320,50:47.0,101912,0
5341,45:47.0,137436,0
5350,07:11.0,42072,0
5358,14:41.0,84962,0
5363,25:23.0,84962,0
5377,45:12.0,125337,0
5380,49:47.0,125337,0
5382,51:00.0,111904,0
5414,14:13.0,5444,0
5420,16:54.0,133968,0
5435,27:02.0,141912,0
5458,42:54.0,149343,0
5462,44:08.0,150370,0
5476,52:03.0,137052,0
5490,57:13.0,5444,0
5496,00:21.0,45211,0
5500,00:54.0,137988,1
5504,02:07.0,54259,0
5518,05:09.0,38207,0
5533,13:31.0,64587,0
5552,20:20.0,2668,0
5559,22:39.0,70975,0
5563,23:26.0,70975,0
5565,23:54.0,70975,0
5569,26:10.0,145197,0
5571,26:32.0,175324,0
5580,29:19.0,106237,0
5582,29:23.0,70975,0
5584,31:18.0,70975,0
5585,31:34.0,70975,0
5586,32:06.0,120462,0
5590,33:46.0,13097,0
5598,35:22.0,94460,0
5617,40:44.0,64114,0
5626,42:30.0,153259,0
5631,44:18.0,4717,0
5652,51:54.0,146622,0
5659,53:36.0,110548,0
5679,00:51.0,6270,0
5686,03:22.0,31990,0
5716,09:27.0,166932,0
5719,11:01.0,21139,0
5720,11:21.0,171085,0
5727,13:41.0,171085,0
5728,14:10.0,90426,0
5733,15:05.0,38298,0
5734,15:45.0,90426,0
5739,16:25.0,90426,0
5751,19:16.0,113822,0
5754,19:34.0,142261,0
5760,20:48.0,35609,0
5769,23:50.0,7522,0
5787,26:35.0,12115,0
5790,27:50.0,74974,0
5792,28:09.0,63226,0
5797,29:30.0,24091,0
5808,31:36.0,59578,0
5823,36:27.0,35713,0
5832,38:42.0,123206,0
5843,40:48.0,34958,0
5851,42:10.0,27931,0
5852,42:28.0,141430,0
5858,43:32.0,1304,0
5860,43:42.0,34958,0
5864,44:12.0,142280,0
5874,46:16.0,102101,0
5880,47:05.0,102101,0
5895,49:44.0,101777,0
5918,53:18.0,123206,0
5945,00:23.0,39791,0
5949,00:40.0,96292,0
5961,01:42.0,16888,0
5962,01:43.0,73020,0
5963,01:44.0,96292,0
5967,02:07.0,113760,0
5968,02:31.0,7957,0
5975,03:33.0,150323,0
5980,04:00.0,159686,0
5982,04:07.0,31401,0
5993,05:39.0,99977,0
6009,08:09.0,11893,0
6016,09:11.0,93009,0
6041,13:43.0,43319,0
6052,15:39.0,67169,0
6056,16:15.0,67169,0
6063,17:13.0,28722,0
6069,18:59.0,58515,0
6081,22:02.0,110524,0
6082,22:06.0,62006,0
6086,22:54.0,85928,0
6087,23:03.0,11893,0
6088,23:07.0,67501,0
6105,26:11.0,11893,0
6123,28:09.0,84537,0
6125,28:30.0,159261,0
6154,34:49.0,161016,0
6157,35:50.0,133687,0
6160,36:14.0,156796,0
6161,36:15.0,156796,0
6185,39:54.0,78682,0
6186,39:57.0,97743,0
6267,56:18.0,131823,0
6274,57:53.0,16809,0
6301,02:51.0,169156,0
6304,03:34.0,88714,0
6311,05:40.0,11155,0
6312,05:41.0,11155,0
6316,06:15.0,18914,0
6322,07:21.0,72582,0
6323,07:41.0,32442,0
6327,09:38.0,159018,0
6336,10:36.0,15829,0
6348,12:19.0,81413,0
6351,12:34.0,143920,0
6367,15:21.0,75425,0
6370,15:47.0,20097,0
6374,17:39.0,159746,0
6379,18:15.0,81413,0
6383,18:43.0,90108,0
6400,21:47.0,105766,0
6406,22:25.0,174730,0
6413,23:33.0,5733,0
6419,24:13.0,125300,0
6420,24:17.0,38036,0
6421,24:19.0,86122,0
6423,24:30.0,5733,0
6426,25:20.0,5733,0
6430,25:47.0,156331,0
6435,26:14.0,97686,0
6442,28:08.0,103953,0
6454,29:49.0,158884,0
6474,33:37.0,17156,0
6478,34:02.0,139553,0
6480,34:08.0,143479,0
6482,34:21.0,111235,0
6495,35:55.0,119719,0
6505,39:50.0,23699,0
6513,41:08.0,98180,0
6524,43:10.0,170712,0
6540,45:53.0,85815,0
6542,46:19.0,33413,0
6543,46:33.0,50429,0
6545,46:53.0,31309,0
6559,50:40.0,101777,0
6564,51:28.0,125623,0
6566,51:29.0,101777,0
6567,51:31.0,10628,0
6576,53:23.0,23835,0
6580,54:31.0,32753,0
6581,54:39.0,163018,0
6587,55:31.0,63454,0
6609,58:55.0,6816,0
6613,59:19.0,135398,0
6620,00:25.0,32315,0
6630,03:18.0,115230,0
6632,03:32.0,72401,0
6637,03:55.0,5306,0
6647,06:27.0,72401,0
6669,09:08.0,91638,0
6680,11:44.0,37941,0
6683,12:02.0,131739,0
6687,12:37.0,167955,0
6688,13:02.0,167955,0
6708,19:30.0,97485,0
6718,22:14.0,121213,0
6725,23:58.0,124788,0
6741,26:58.0,68520,0
6743,27:06.0,42912,0
6748,28:06.0,39500,0
6750,28:38.0,137939,0
6764,31:41.0,39204,0
6765,31:43.0,171105,0
6768,32:05.0,144415,0
6771,32:24.0,96381,0
6789,35:21.0,33413,0
6797,37:48.0,153077,0
6837,49:06.0,152406,0
6848,52:07.0,120848,0
6857,55:15.0,38241,0
6867,58:02.0,173720,0
6877,00:37.0,167864,0
6887,02:04.0,4717,0
6918,09:26.0,32400,0
6924,11:52.0,70648,0
6948,18:22.0,103567,0
6951,19:48.0,98928,0
6957,21:57.0,149886,0
6959,23:13.0,16678,0
6961,23:39.0,7445,0
6967,26:20.0,171105,0
6970,26:38.0,171105,0
6983,30:11.0,48887,0
6998,33:05.0,4574,0
7034,43:59.0,117676,0
7042,46:52.0,81445,0
7073,54:55.0,12454,0
7075,55:17.0,87864,0
7091,59:20.0,31990,0
7111,04:23.0,63685,0
7148,13:03.0,85376,0
7160,16:08.0,146154,0
7167,18:09.0,50840,0
7180,20:15.0,52120,0
7183,20:33.0,152705,0
7193,23:50.0,64742,0
7194,23:52.0,130329,0
7195,23:53.0,126587,0
7203,25:12.0,96171,0
7206,25:23.0,13805,0
7228,29:56.0,159747,0
7265,36:47.0,110114,0
7266,36:48.0,110114,0
7267,37:06.0,146986,0
7273,37:51.0,66577,0
7280,39:24.0,68795,0
7283,39:57.0,101777,0
7285,40:50.0,26074,0
7358,58:14.0,36800,0
7360,59:15.0,106287,0
7380,03:57.0,157883,0
7389,05:51.0,151237,0
7406,08:55.0,24268,0
7427,15:40.0,102845,0
7431,16:44.0,121125,0
7435,17:34.0,128475,0
7440,18:23.0,8597,0
7442,18:40.0,10119,0
7467,25:07.0,124474,0
7481,29:20.0,144215,0
7484,29:46.0,57339,0
7494,31:31.0,149772,0
7505,34:22.0,143335,0
7516,36:54.0,62920,0
7517,36:58.0,121285,0
7520,38:55.0,62475,0
7521,39:11.0,52120,0
7523,39:33.0,16230,0
7526,40:13.0,131646,0
7529,40:17.0,52120,0
7532,40:42.0,114925,0
7571,49:56.0,153907,0
7583,50:53.0,171105,0
7614,57:16.0,1085,0
7629,02:11.0,78682,0
7633,02:44.0,83565,0
7639,03:25.0,87959,0
7640,03:41.0,174564,0
7650,05:05.0,174564,0
7667,09:17.0,156201,0
7692,13:03.0,74148,0
7732,20:08.0,17955,0
7735,20:21.0,27659,0
7737,20:37.0,145300,0
7739,21:03.0,147852,0
7744,22:13.0,142522,0
7750,23:41.0,30017,0
7756,25:42.0,12695,0
7770,28:21.0,143046,0
7796,33:11.0,110363,0
7802,33:59.0,10009,0
7803,34:19.0,129152,0
7806,34:57.0,6270,0
7810,35:30.0,111460,0
7811,35:35.0,84025,0
7813,36:33.0,87411,0
7837,42:43.0,51878,0
7859,47:39.0,24372,0
7860,48:01.0,110363,0
7874,49:39.0,107532,0
7876,50:04.0,30194,0
7879,50:52.0,107697,0
7885,52:39.0,146036,0
7891,54:29.0,85983,0
7894,55:36.0,19867,0
7895,55:56.0,83717,0
7914,58:53.0,74148,0
7919,00:01.0,74148,0
7959,08:57.0,77366,0
7978,12:54.0,162104,0
7980,13:05.0,59480,0
7990,15:45.0,131394,0
8006,19:19.0,46772,0
8008,20:28.0,135767,0
8012,21:16.0,119362,0
8044,29:34.0,32063,0
8063,33:20.0,162104,0
8137,50:31.0,85330,0
8147,54:03.0,13097,0
8182,03:38.0,119089,0
8191,05:05.0,107114,0
8195,06:04.0,160878,0
8225,13:26.0,149489,0
8235,16:23.0,43495,0
8236,16:54.0,25146,0
8238,16:57.0,160849,0
8247,18:48.0,53583,0
8256,20:30.0,124800,0
8273,25:16.0,3545,0
8284,27:15.0,143406,0
8305,33:05.0,148453,0
8331,38:43.0,85987,0
8333,39:05.0,139422,0
8336,39:37.0,74148,0
8337,40:09.0,102391,0
8344,42:21.0,108715,0
8348,42:32.0,85330,0
8350,43:14.0,32098,0
8368,46:54.0,5759,0
8369,46:54.0,39475,0
8372,47:19.0,49404,0
8380,49:55.0,16687,0
8386,50:48.0,57005,0
8398,53:34.0,32322,0
8402,54:27.0,174564,0
8403,54:32.0,41085,0
8407,55:58.0,64629,0
8428,01:28.0,32098,0
8429,01:28.0,72121,0
8440,03:27.0,151191,0
8444,04:53.0,108383,0
8469,12:30.0,43328,0
8496,18:34.0,64459,0
8501,19:37.0,10647,0
8547,35:58.0,141549,0
8551,36:26.0,8481,0
8567,39:46.0,94800,0
8576,42:24.0,30357,0
8579,43:50.0,136299,0
8582,44:15.0,105623,0
8603,50:26.0,10849,0
8610,52:26.0,127136,0
8612,53:11.0,172826,0
8617,54:21.0,127136,0
8629,58:50.0,92416,0
8639,01:29.0,97686,0
8648,04:06.0,150083,0
8650,04:32.0,39332,0
8653,05:26.0,57828,0
8655,05:47.0,41085,0
8675,10:35.0,122892,0
8686,12:45.0,160638,0
8689,13:17.0,27224,0
8697,16:07.0,27224,0
8722,21:00.0,60417,0
8730,22:35.0,37469,0
8751,26:50.0,70975,0
8754,27:33.0,70975,0
8761,28:23.0,173517,0
8770,31:11.0,20797,0
8779,32:17.0,159615,0
8788,33:44.0,115390,0
8790,33:50.0,129277,0
8808,38:06.0,152410,0
8819,40:57.0,110363,0
8827,42:29.0,129277,0
8831,42:44.0,49289,0
8839,44:14.0,136994,0
8844,44:47.0,37469,0
8854,46:34.0,125484,0
8855,46:40.0,90120,0
8875,50:11.0,41568,0
8878,50:45.0,41568,0
8880,51:03.0,33793,0
8883,51:40.0,41568,0
8889,54:12.0,90997,0
8894,55:22.0,77015,0
8902,57:24.0,13784,0
8914,59:25.0,131976,0
8930,01:02.0,9579,0
8954,05:14.0,159261,0
8955,05:16.0,156810,0
8963,08:01.0,147480,0
8982,11:49.0,129277,0
8988,12:43.0,117031,0
8995,14:02.0,106830,0
8996,14:05.0,66269,0
8997,14:18.0,163398,0
9011,17:38.0,34523,0
9016,18:33.0,31649,0
9028,20:27.0,361,0
9042,22:27.0,40590,0
9052,24:20.0,101895,0
9064,27:59.0,28894,0
9066,28:27.0,128135,0
9067,28:41.0,117012,0
9087,31:39.0,101912,0
9089,31:50.0,84828,0
9090,31:54.0,171105,0
9091,32:17.0,12115,0
9092,32:18.0,171105,0
9097,32:37.0,168119,0
9106,33:35.0,164556,0
9114,34:52.0,39036,0
9135,40:00.0,162635,0
9136,40:12.0,48824,0
9139,40:34.0,111983,0
